Date	Open	High	Low	Close
Jul 01, 2024 00:00	1.82129	1.81868	1.82819	1.82588
Jun 28, 2024 00:00	1.82949	1.82232	1.83655	1.82791
Jun 27, 2024 00:00	1.83436	1.82568	1.83790	1.83050
Jun 26, 2024 00:00	1.82638	1.82370	1.83857	1.83419
Jun 25, 2024 00:00	1.82973	1.82382	1.83577	1.82655
Jun 24, 2024 00:00	1.82979	1.82349	1.83797	1.82983
Jun 21, 2024 00:00	1.83244	1.82562	1.83715	1.82949
Jun 20, 2024 00:00	1.84332	1.82855	1.84877	1.83241
Jun 19, 2024 00:00	1.84216	1.83945	1.85395	1.84257
Jun 18, 2024 00:00	1.83510	1.83366	1.85477	1.84220
Jun 17, 2024 00:00	1.82963	1.82825	1.83891	1.83503
Jun 14, 2024 00:00	1.81633	1.81597	1.83597	1.82979
Jun 13, 2024 00:00	1.80799	1.80535	1.81821	1.81637
Jun 12, 2024 00:00	1.81268	1.79953	1.82276	1.80793
Jun 11, 2024 00:00	1.82027	1.81146	1.82448	1.81271
Jun 10, 2024 00:00	1.82805	1.81727	1.83311	1.82083
Jun 07, 2024 00:00	1.81409	1.81109	1.83050	1.82802
Jun 06, 2024 00:00	1.80819	1.80675	1.82585	1.81412
Jun 05, 2024 00:00	1.81997	1.80512	1.82183	1.80819
Jun 04, 2024 00:00	1.80444	1.80229	1.82595	1.81990
Jun 03, 2024 00:00	1.80483	1.79943	1.81291	1.80571
May 31, 2024 00:00	1.81035	1.79808	1.81159	1.80437
May 30, 2024 00:00	1.79150	1.79070	1.81363	1.81032
